id,formula,elements,num_elements,has_transition_metals,families
GEN_00000,"{'Na': 0.655777633190155, 'O': 0.3176063895225525, 'Ti': 0.010646295733749866}","['Ti', 'Na', 'O']",3,1,['layered_oxide']
GEN_00001,"{'Na': 0.10379412770271301, 'O': 0.6168235540390015, 'V': 0.2688657343387604}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00002,"{'Na': 0.15512146055698395, 'O': 0.5648171901702881, 'V': 0.27999088168144226}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00003,"{'Mn': 0.012129384092986584, 'Na': 0.3810052275657654, 'O': 0.46053388714790344, 'V': 0.14605067670345306}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00004,"{'Co': 0.01616949588060379, 'Fe': 0.11616723239421844, 'Na': 0.40169453620910645, 'O': 0.45967841148376465}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00005,"{'Co': 0.012142240069806576, 'Fe': 0.021056290715932846, 'Na': 0.10152112692594528, 'O': 0.6142807602882385, 'P': 0.21988987922668457, 'V': 0.020342711359262466}","['V', 'O', 'Co', 'P', 'Na', 'Fe']",6,3,"['phosphate', 'high_entropy']"
GEN_00006,"{'Mn': 0.10848715901374817, 'Na': 0.39435693621635437, 'O': 0.43680670857429504, 'V': 0.055808547884225845}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00007,"{'Co': 0.013936873525381088, 'Mn': 0.018700432032346725, 'Na': 0.08662263303995132, 'O': 0.6293978691101074, 'P': 0.1733417958021164, 'V': 0.057010188698768616}","['V', 'O', 'Mn', 'Co', 'P', 'Na']",6,3,"['phosphate', 'high_entropy']"
GEN_00008,"{'Fe': 0.12114831060171127, 'Na': 0.38748589158058167, 'O': 0.4747377336025238, 'P': 0.011810164898633957}","['P', 'Na', 'Fe', 'O']",4,1,['phosphate']
GEN_00009,"{'Fe': 0.2139800488948822, 'Na': 0.34483861923217773, 'O': 0.4411773085594177}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00010,"{'Na': 0.21279406547546387, 'O': 0.5462536215782166, 'V': 0.24078486859798431}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00011,"{'Co': 0.013413773849606514, 'Fe': 0.016755899414420128, 'Na': 0.4811916947364807, 'O': 0.48323261737823486}","['Co', 'Na', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00012,"{'Na': 0.09746292233467102, 'O': 0.6020752787590027, 'V': 0.3001030385494232}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00013,"{'Na': 0.16173848509788513, 'O': 0.5847992300987244, 'V': 0.24507057666778564}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00014,"{'Na': 0.10099975019693375, 'O': 0.6037842035293579, 'V': 0.2879519462585449}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00015,"{'Li': 0.3274659514427185, 'Na': 0.11021190136671066, 'O': 0.42271754145622253, 'Ti': 0.030203159898519516, 'V': 0.08819941431283951}","['V', 'Li', 'O', 'Ti', 'Na']",5,2,['high_entropy']
GEN_00016,"{'Mn': 0.20452824234962463, 'Na': 0.20367294549942017, 'O': 0.5123370885848999, 'V': 0.0693063735961914}","['O', 'V', 'Na', 'Mn']",4,2,['layered_oxide']
GEN_00017,"{'Mn': 0.3437666594982147, 'Na': 0.24800831079483032, 'O': 0.4080127477645874}","['O', 'Na', 'Mn']",3,1,['layered_oxide']
GEN_00018,"{'Co': 0.019922761246562004, 'Mn': 0.10420715063810349, 'Na': 0.31323352456092834, 'O': 0.5039909482002258, 'P': 0.021239228546619415, 'V': 0.024911344051361084}","['V', 'O', 'Mn', 'Co', 'P', 'Na']",6,3,"['phosphate', 'high_entropy']"
GEN_00019,"{'Na': 0.02747153490781784, 'O': 0.6418195962905884, 'P': 0.16642872989177704, 'V': 0.16117818653583527}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00020,"{'Co': 0.03216097503900528, 'Fe': 0.021547909826040268, 'Na': 0.32998985052108765, 'O': 0.5291305184364319, 'P': 0.08379125595092773}","['O', 'Co', 'P', 'Na', 'Fe']",5,2,"['phosphate', 'high_entropy']"
GEN_00021,"{'Na': 0.050833117216825485, 'O': 0.6539257764816284, 'P': 0.01661551371216774, 'V': 0.27378538250923157}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00022,"{'Co': 0.13412737846374512, 'Na': 0.5229663848876953, 'O': 0.34288927912712097}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00023,"{'Co': 0.16729086637496948, 'Na': 0.2999821901321411, 'O': 0.5082751512527466, 'P': 0.018421044573187828}","['P', 'Co', 'Na', 'O']",4,1,['phosphate']
GEN_00024,"{'Mn': 0.31894049048423767, 'Na': 0.27044644951820374, 'O': 0.41032204031944275}","['O', 'Na', 'Mn']",3,1,['layered_oxide']
GEN_00025,"{'Na': 0.08003938943147659, 'O': 0.6031963229179382, 'V': 0.3163687586784363}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00026,"{'Na': 0.06754109263420105, 'O': 0.6284311413764954, 'P': 0.037527769804000854, 'V': 0.26237261295318604}","['P', 'V', 'Na', 'O']",4,1,['phosphate']
GEN_00027,"{'Fe': 0.2191280573606491, 'Na': 0.18448525667190552, 'O': 0.5415728092193604, 'V': 0.05240942910313606}","['Na', 'V', 'Fe', 'O']",4,2,['layered_oxide']
GEN_00028,"{'Co': 0.2584105134010315, 'Na': 0.2636909782886505, 'O': 0.4759814143180847}","['Co', 'Na', 'O']",3,1,['layered_oxide']
GEN_00029,"{'Mn': 0.1593046933412552, 'Na': 0.3874204158782959, 'O': 0.4419820010662079}","['O', 'Na', 'Mn']",3,1,['layered_oxide']
GEN_00030,"{'Fe': 0.06095040962100029, 'Na': 0.5372433662414551, 'O': 0.4009150266647339}","['Na', 'Fe', 'O']",3,1,['layered_oxide']
GEN_00031,"{'Na': 0.1582150161266327, 'O': 0.5692550539970398, 'V': 0.27212822437286377}","['V', 'Na', 'O']",3,1,['layered_oxide']
GEN_00032,"{'Na': 0.023653779178857803, 'O': 0.6174890398979187, 'V': 0.3574042022228241}","['V', 'Na', 'O']",3,1,['layered_oxide']
