id,formula,elements,num_elements,num_transition_metals,predicted_bandgap,predicted_density,predicted_stability,estimated_voltage,estimated_capacity,estimated_energy_density
GEN_09066,"{'Co': 0.017287876456975937, 'Mn': 0.4359407424926758, 'Na': 0.05113530904054642, 'O': 0.47419583797454834, 'P': 0.012297920882701874}","Co, Mn, Na, O, P",5,2,0.5997219005890628,4.694970556414996,0.042443427821507194,3.3200834298232813,190,987.2206166979026
GEN_00836,"{'Mn': 0.3840201199054718, 'Na': 0.08916094899177551, 'O': 0.5067784786224365, 'V': 0.020013106986880302}","Mn, Na, O, V",4,2,0.62413259832644,4.668786763549896,0.03678175171615528,3.312760220502068,190,979.5495009919972
GEN_01874,"{'Mn': 0.4465113878250122, 'Na': 0.03685412555932999, 'O': 0.49303221702575684, 'V': 0.01576147973537445}","Mn, Na, O, V",4,2,0.5946632242435066,4.653400641455645,0.03408005881374564,3.321601032726948,190,978.9268905022496
GEN_03313,"{'Co': 0.012400910258293152, 'Mn': 0.41866663098335266, 'Na': 0.06884869188070297, 'O': 0.4898150563240051}","Co, Mn, Na, O",4,2,0.603745870895404,4.643312105276903,0.03333956309150329,3.3188762387313786,190,976.0032869637613
GEN_07188,"{'Mn': 0.35739150643348694, 'Na': 0.05149798467755318, 'O': 0.5411595106124878, 'V': 0.033496204763650894}","Mn, Na, O, V",4,2,0.48442935281254734,4.593243162776474,0.03484631231815327,3.3546711941562357,190,975.8919666416836
GEN_04425,"{'Co': 0.021316492930054665, 'Mn': 0.3880265951156616, 'Na': 0.07281648367643356, 'O': 0.503740668296814}","Co, Mn, Na, O",4,2,0.5813059865519696,4.631748779634556,0.03269785604772384,3.3256082040344093,190,975.5475102366727
GEN_09691,"{'Mn': 0.31967049837112427, 'Na': 0.14427171647548676, 'O': 0.5060616731643677, 'V': 0.0292027797549963}","Mn, Na, O, V",4,2,0.6562768510040312,4.657911403495169,0.03833187990245857,3.3031169446987905,190,974.4229853067391
GEN_03943,"{'Mn': 0.3657151460647583, 'Na': 0.09934984147548676, 'O': 0.5167389512062073, 'V': 0.017019202932715416}","Mn, Na, O, V",4,2,0.6341374095385703,4.640201056343187,0.039531775727921506,3.3097587771384287,190,972.6699243481953
GEN_08264,"{'Co': 0.012936973944306374, 'Mn': 0.32689744234085083, 'Na': 0.16082362830638885, 'O': 0.4938828945159912}","Co, Mn, Na, O",4,2,0.6330331638915012,4.638715048217995,0.03914145293067215,3.3100900508325495,190,972.4557535510622
GEN_09084,"{'Mn': 0.36113232374191284, 'Na': 0.0887802466750145, 'O': 0.5193674564361572, 'V': 0.023423850536346436}","Mn, Na, O, V",4,2,0.620395467121165,4.633034244987758,0.036346633451065015,3.3138813598636503,190,972.3773021914099
GEN_05575,"{'Mn': 0.35495418310165405, 'Na': 0.12368988245725632, 'O': 0.5024332404136658, 'V': 0.01679973118007183}","Mn, Na, O, V",4,2,0.6409254919555891,4.640622885820653,0.036200732948162694,3.3077223524133235,190,972.159829741487
GEN_08466,"{'Mn': 0.34806859493255615, 'Na': 0.056416500359773636, 'O': 0.5478948354721069, 'V': 0.036309149116277695}","Mn, Na, O, V",4,2,0.5435606269828503,4.594668668416764,0.03484631231815327,3.3369318119051448,190,971.0327495042376
GEN_03155,"{'Co': 0.013311096467077732, 'Mn': 0.39055678248405457, 'Na': 0.12456008791923523, 'O': 0.46944916248321533}","Co, Mn, Na, O",4,2,0.5949727416421029,4.614707079314019,0.04642018563105435,3.321508177507369,190,970.7598623803684
GEN_01760,"{'Mn': 0.35603395104408264, 'Na': 0.09546239674091339, 'O': 0.5268378257751465, 'V': 0.02102421224117279}","Mn, Na, O, V",4,2,0.6289819995183973,4.624138025767538,0.04166236170289028,3.311305400144481,190,969.7557703300408
GEN_06132,"{'Mn': 0.3187560439109802, 'Na': 0.1591496616601944, 'O': 0.4997911751270294, 'V': 0.021805904805660248}","Mn, Na, O, V",4,2,0.664156226135479,4.638846339099857,0.034384688490254306,3.300753132159356,190,969.740150281355
GEN_05082,"{'Mn': 0.3644479215145111, 'Na': 0.05889429897069931, 'O': 0.5359081625938416, 'V': 0.04012639448046684}","Mn, Na, O, V",4,2,0.5667057339112977,4.5973817439636075,0.034270425117047365,3.3299882798266105,190,969.5843972682169
GEN_05819,"{'Mn': 0.36252862215042114, 'Na': 0.13382083177566528, 'O': 0.48968371748924255, 'V': 0.010739533230662346}","Mn, Na, O, V",4,2,0.6227558442004058,4.61473775688404,0.04246404934201019,3.3131732467398782,190,968.3302928658112
GEN_01888,"{'Mn': 0.3442516028881073, 'Na': 0.139289990067482, 'O': 0.5002195835113525, 'V': 0.013098874129354954}","Mn, Na, O, V",4,2,0.6587531162175215,4.629128104208667,0.04228630386561105,3.3023740651347437,190,968.1837977165874
GEN_08922,"{'Co': 0.027871044352650642, 'Mn': 0.3594146966934204, 'Na': 0.10646936297416687, 'O': 0.5009475350379944}","Co, Mn, Na, O",4,2,0.6047035388756029,4.605575488354662,0.04036160020323023,3.318588938337319,190,967.9874184543141
GEN_01654,"{'Mn': 0.3438122272491455, 'Na': 0.09178530424833298, 'O': 0.5288391709327698, 'V': 0.03545093908905983}","Mn, Na, O, V",4,2,0.6450399586796065,4.619471099817826,0.037985502578826526,3.3064880123961182,190,967.3676349600037
GEN_04212,"{'Mn': 0.36765560507774353, 'Na': 0.11329510062932968, 'O': 0.5025826692581177, 'V': 0.010135827586054802}","Mn, Na, O, V",4,2,0.6271992513378808,4.609427001457658,0.03578996954575348,3.311840224598636,190,966.8267645326414
GEN_07127,"{'Mn': 0.3391653895378113, 'Na': 0.06940309703350067, 'O': 0.5378908514976501, 'V': 0.03381046652793884}","Mn, Na, O, V",4,2,0.5944540799145379,4.594093905162066,0.033645109601908654,3.3216637760256384,190,966.4689028676767
GEN_09152,"{'Co': 0.03266851603984833, 'Mn': 0.33730238676071167, 'Na': 0.13837410509586334, 'O': 0.4871860444545746}","Co, Mn, Na, O",4,2,0.6141846635436033,4.6016230856990505,0.04140477567965156,3.315744600936919,190,966.3277704570431
GEN_02060,"{'Mn': 0.47146233916282654, 'Na': 0.02622970938682556, 'O': 0.4822171926498413, 'V': 0.013596989214420319}","Mn, Na, O, V",4,2,0.6720354517088656,4.625387629665498,0.04047186281485042,3.29838936448734,190,966.2341930735993
GEN_09590,"{'Mn': 0.35692331194877625, 'Na': 0.14238132536411285, 'O': 0.48922139406204224, 'V': 0.010802733711898327}","Mn, Na, O, V",4,2,0.6350395146302198,4.602112656354078,0.04136242059784327,3.309488145610934,190,964.6070277947583
GEN_05712,"{'Mn': 0.3646264970302582, 'Na': 0.11084073781967163, 'O': 0.5060853362083435, 'V': 0.011868254281580448}","Mn, Na, O, V",4,2,0.637773521443701,4.594012162712315,0.03711764832778406,3.3086679435668898,190,962.6705157577668
GEN_04989,"{'Mn': 0.3532474637031555, 'Na': 0.10385872423648834, 'O': 0.5184702277183533, 'V': 0.024077752605080605}","Mn, Na, O, V",4,2,0.6361216648918228,4.592910934943381,0.03964944407233622,3.309163500532453,190,962.583904383698
GEN_05963,"{'Co': 0.011109824292361736, 'Mn': 0.34086424112319946, 'Na': 0.14656691253185272, 'O': 0.4944579005241394}","Co, Mn, Na, O",4,2,0.6018463828659475,4.5775871957172445,0.04344243797547611,3.319446085140216,190,962.3534134267338
GEN_01725,"{'Mn': 0.34311598539352417, 'Na': 0.11506107449531555, 'O': 0.5182236433029175, 'V': 0.013544473797082901}","Mn, Na, O, V",4,2,0.6393142645329224,4.592315913332938,0.037033002122610854,3.308205720640123,190,962.1806324467308
GEN_07016,"{'Mn': 0.32566067576408386, 'Na': 0.12799076735973358, 'O': 0.5160204768180847, 'V': 0.012761128135025501}","Mn, Na, O, V",4,2,0.6373837799693618,4.59075063798747,0.03053713402736439,3.3087848660091916,190,962.021061524349
GEN_02270,"{'Mn': 0.32780975103378296, 'Na': 0.09695639461278915, 'O': 0.5354849100112915, 'V': 0.03494608402252197}","Mn, Na, O, V",4,2,0.6335703431257942,4.588706583427046,0.04008548415704194,3.3099288970622616,190,961.925192972918
GEN_03866,"{'Co': 0.025126665830612183, 'Mn': 0.3144218623638153, 'Na': 0.09977836161851883, 'O': 0.5430122017860413, 'P': 0.01251496747136116}","Co, Mn, Na, O, P",5,2,0.5989699986981695,4.568759820138733,0.04008049316263369,3.3203090003905493,190,960.7473089238583
GEN_00311,"{'Mn': 0.32608142495155334, 'Na': 0.13552473485469818, 'O': 0.5176486968994141, 'V': 0.01966158114373684}","Mn, Na, O, V",4,2,0.6587000231889925,4.592212458586893,0.03585135284923089,3.3023899930433025,190,960.4675097138553
GEN_02807,"{'Co': 0.012180790305137634, 'Mn': 0.3374629616737366, 'Na': 0.1599072366952896, 'O': 0.4814748466014862}","Co, Mn, Na, O",4,2,0.6215002144206017,4.561250973049875,0.039216005444665476,3.3135499356738194,190,957.2157483282987
GEN_09133,"{'Li': 0.016179261729121208, 'Mn': 0.3289569020271301, 'Na': 0.11621960252523422, 'O': 0.5206817984580994, 'V': 0.017872024327516556}","Li, Mn, Na, O, V",5,2,0.6532307672197668,4.5656464104553525,0.034445070978852,3.30403076983407,190,955.3856275407073
GEN_02444,"{'Mn': 0.321213036775589, 'Na': 0.11915553361177444, 'O': 0.5175018906593323, 'V': 0.04080751910805702}","Mn, Na, O, V",4,2,0.6405741661845117,4.5587939979821455,0.03883718065683701,3.3078277501446465,190,955.0480019354858
GEN_05783,"{'Mn': 0.20386965572834015, 'Na': 0.040121253579854965, 'O': 0.6106604337692261, 'V': 0.14215601980686188}","Mn, Na, O, V",4,2,0.34503736229600707,4.43828591865135,0.03745091606207547,3.396488791311198,190,954.7239304377969
GEN_00537,"{'Mn': 0.32449251413345337, 'Na': 0.10794581472873688, 'O': 0.5258561968803406, 'V': 0.03549698367714882}","Mn, Na, O, V",4,2,0.6499891644228472,4.5592944155583,0.039881664007304606,3.305003250673146,190,954.3372480657532
GEN_02299,"{'Co': 0.01252491120249033, 'Mn': 0.4082746207714081, 'Na': 0.13985632359981537, 'O': 0.43910089135169983}","Co, Mn, Na, O",4,2,0.5828157964124947,4.529939246757833,0.05197602783574436,3.325155261076252,190,953.9742501851315
GEN_02623,"{'Mn': 0.35564061999320984, 'Na': 0.045854683965444565, 'O': 0.5357219576835632, 'P': 0.02336888760328293, 'V': 0.018489228561520576}","Mn, Na, O, P, V",5,2,0.4846436762101371,4.48609277923472,0.03791838643425031,3.354606897136959,190,953.1082592997496
GEN_00085,"{'Mn': 0.3036763370037079, 'Na': 0.08468138426542282, 'O': 0.546994686126709, 'V': 0.01802499033510685}","Mn, Na, O, V",4,2,0.6699836824127998,4.561474275204298,0.030888948668409733,3.29900489527616,190,953.0606443597659
GEN_08558,"{'Co': 0.015719549730420113, 'Mn': 0.3542739152908325, 'Na': 0.15945367515087128, 'O': 0.4687650203704834}","Co, Mn, Na, O",4,2,0.616791146490367,4.535244548150199,0.04562912477477991,3.3149626560528898,190,952.16386650174
GEN_06330,"{'Co': 0.015085981227457523, 'Mn': 0.3144003748893738, 'Na': 0.12937606871128082, 'O': 0.5164046287536621}","Co, Mn, Na, O",4,2,0.6209949670689415,4.536717720762693,0.039231060690693716,3.3137015098793174,190,952.1107962085475
GEN_03022,"{'Mn': 0.3420204520225525, 'Na': 0.03246384486556053, 'O': 0.5555117130279541, 'P': 0.032379988580942154, 'V': 0.027895094826817513}","Mn, Na, O, P, V",5,2,0.5288999823901788,4.494060761119404,0.04156058401037981,3.341330005282946,190,951.0222042238887
GEN_01028,"{'Mn': 0.31369391083717346, 'Na': 0.13358525931835175, 'O': 0.5208320617675781, 'V': 0.020674604922533035}","Mn, Na, O, V",4,2,0.6460822885484695,4.538066446920175,0.03324383341624729,3.306175313435459,190,950.2307396440259
GEN_07747,"{'Mn': 0.3128698766231537, 'Na': 0.1450551450252533, 'O': 0.5236207842826843, 'V': 0.013713181018829346}","Mn, Na, O, V",4,2,0.6719044026330618,4.547820328578863,0.034888002947622336,3.2984286792100814,190,950.0418633130122
GEN_05591,"{'Mn': 0.31056565046310425, 'Na': 0.09291139990091324, 'O': 0.5377717614173889, 'V': 0.05458246171474457}","Mn, Na, O, V",4,2,0.6388868327981592,4.532591754393294,0.03865891836938525,3.308333950160552,190,949.7040549408838
GEN_05361,"{'Mn': 0.30306580662727356, 'Na': 0.1024111658334732, 'O': 0.5288788676261902, 'V': 0.05576375871896744}","Mn, Na, O, V",4,2,0.63815383823634,4.529170533006193,0.03866209519770023,3.308553848529098,190,949.0502911827408
GEN_09252,"{'Mn': 0.3092055916786194, 'Na': 0.13190482556819916, 'O': 0.5219937562942505, 'V': 0.03339269012212753}","Mn, Na, O, V",4,2,0.6336407523380426,4.52487372192022,0.03701541410496806,3.3099077742985874,190,948.5379316271975
GEN_03965,"{'Mn': 0.29209378361701965, 'Na': 0.09600929170846939, 'O': 0.553413450717926, 'V': 0.0537341870367527}","Mn, Na, O, V",4,2,0.6390305859809491,4.519556912615851,0.04681370646134011,3.308290824205715,190,946.960548687227
GEN_05173,"{'Mn': 0.3315749764442444, 'Na': 0.10575822740793228, 'O': 0.5334435105323792, 'V': 0.016268640756607056}","Mn, Na, O, V",4,2,0.6448127653553265,4.520388158711353,0.03777817398679278,3.306556170393402,190,946.638099388152
GEN_04952,"{'Co': 0.016828089952468872, 'Mn': 0.3315885365009308, 'Na': 0.1638731062412262, 'O': 0.4850827157497406}","Co, Mn, Na, O",4,2,0.6476521295169252,4.520900629575599,0.03909210082361169,3.3057043611449224,190,946.5015254077558
GEN_05420,"{'Mn': 0.32622405886650085, 'Na': 0.14762268960475922, 'O': 0.5130585432052612, 'V': 0.010476049967110157}","Mn, Na, O, V",4,2,0.6427268330382947,4.517728349927526,0.03929504350851346,3.307181950088512,190,946.2601447712865
GEN_08403,"{'Mn': 0.294501394033432, 'Na': 0.10341174900531769, 'O': 0.5485982298851013, 'V': 0.05325851961970329}","Mn, Na, O, V",4,2,0.6176693172738991,4.506175073883845,0.04565038959170257,3.3146992048178303,190,945.9856124976048
GEN_07432,"{'Mn': 0.3244783580303192, 'Na': 0.10554809868335724, 'O': 0.5385577082633972, 'V': 0.027681533247232437}","Mn, Na, O, V",4,2,0.6451336670730534,4.515693383683573,0.03777817398679278,3.306459899878084,190,945.6274092419857
GEN_02046,"{'Co': 0.019577106460928917, 'Mn': 0.34901365637779236, 'Na': 0.07250285148620605, 'O': 0.5313085317611694, 'P': 0.023125024512410164}","Co, Mn, Na, O, P",5,2,0.590415823047781,4.489432665376746,0.03631897275719595,3.3228752530856656,190,944.7955645977378
GEN_00346,"{'Mn': 0.3208577036857605, 'Na': 0.10487645119428635, 'O': 0.52375727891922, 'V': 0.030689798295497894}","Mn, Na, O, V",4,2,0.6573821798789565,4.511467830062233,0.03837102575199809,3.302785346036313,190,943.6926230887731
GEN_09167,"{'Mn': 0.3119072914123535, 'Na': 0.14426207542419434, 'O': 0.5177143812179565, 'V': 0.0257205031812191}","Mn, Na, O, V",4,2,0.6720356438723782,4.505086569204436,0.037499224613910025,3.2983893068382866,190,941.1035265288307
GEN_02767,"{'Fe': 0.31431159377098083, 'Na': 0.0856001228094101, 'O': 0.5412447452545166, 'V': 0.05332741513848305}","Fe, Na, O, V",4,2,1.0155243211647675,4.648904928310621,0.040900950051002166,3.19534270365057,190,940.8068147006928
GEN_05147,"{'Mn': 0.2931252717971802, 'Na': 0.07521950453519821, 'O': 0.5719735622406006, 'V': 0.04823802784085274}","Mn, Na, O, V",4,2,0.6350783852429176,4.482624798002879,0.03724022610928187,3.3094764844271247,190,939.5589526416933
GEN_05618,"{'Mn': 0.3058396279811859, 'Na': 0.12255140393972397, 'O': 0.5433636903762817, 'V': 0.023700600489974022}","Mn, Na, O, V",4,2,0.635760754072466,4.474761953436441,0.033951046100076085,3.30927177377826,190,937.8528837026585
GEN_04897,"{'Co': 0.20504337549209595, 'Mn': 0.09447946399450302, 'Na': 0.15887486934661865, 'O': 0.5271443128585815}","Co, Mn, Na, O",4,2,0.7565259461996506,4.5144567953111,0.041110410285867593,3.2730422161401047,190,935.8138193529404
GEN_06797,"{'Mn': 0.27037787437438965, 'Na': 0.1074138954281807, 'O': 0.5506589412689209, 'V': 0.0713946744799614}","Mn, Na, O, V",4,2,0.6458314836786675,4.468149563405279,0.05152980656620265,3.3062505548964,190,935.612058313358
GEN_09712,"{'Mn': 0.3022765815258026, 'Na': 0.11784512549638748, 'O': 0.5359638929367065, 'V': 0.0303609911352396}","Mn, Na, O, V",4,2,0.6545590395057134,4.471322251709862,0.035567749641335314,3.303632288148286,190,935.5349555594245
GEN_02325,"{'Mn': 0.28899452090263367, 'Na': 0.11766499280929565, 'O': 0.5371626019477844, 'V': 0.05537561699748039}","Mn, Na, O, V",4,2,0.6637590029977769,4.4707937059756535,0.04091215197438009,3.300872299100667,190,934.6428762730808
GEN_05212,"{'Mn': 0.294908344745636, 'Na': 0.13110631704330444, 'O': 0.5309760570526123, 'V': 0.029390206560492516}","Mn, Na, O, V",4,2,0.6514630376885404,4.461206197002216,0.03686914201237381,3.304561088693438,190,933.6807991259319
GEN_07958,"{'Co': 0.24032269418239594, 'Mg': 0.013319720514118671, 'Mn': 0.02810622937977314, 'Na': 0.1721910536289215, 'O': 0.5299792885780334}","Co, Mg, Mn, Na, O",5,2,0.7740998632197896,4.511066041049463,0.0318014597973601,3.2677700410340633,190,933.6046759309462
GEN_02445,"{'Mn': 0.28113478422164917, 'Na': 0.0859595462679863, 'O': 0.567203164100647, 'V': 0.06545571237802505}","Mn, Na, O, V",4,2,0.6949709805965605,4.476451694595452,0.03949002889594339,3.2915087058210317,190,933.1710491833887
GEN_07811,"{'Co': 0.013735424727201462, 'Mn': 0.22652308642864227, 'Na': 0.13696303963661194, 'O': 0.5458678007125854, 'P': 0.014080414548516273, 'V': 0.027736499905586243}","Co, Mn, Na, O, P, V",6,3,0.7800819252738255,4.080222527590073,0.04531050486300573,3.2659754224178523,210,932.8134545173378
GEN_04253,"{'Co': 0.013022277504205704, 'Mn': 0.24280641973018646, 'Na': 0.21224941313266754, 'O': 0.5093517303466797, 'V': 0.010557310655713081}","Co, Mn, Na, O, V",5,3,0.7094808251957206,4.048560260254695,0.04042594315912262,3.2871557524412838,210,931.577370402098
GEN_06491,"{'Mn': 0.27037641406059265, 'Na': 0.12542961537837982, 'O': 0.5355604887008667, 'V': 0.06044842675328255}","Mn, Na, O, V",4,2,0.6696791744306482,4.4558671123699,0.044802783144639584,3.2990962476708057,190,931.0211831341545
GEN_03316,"{'Li': 0.0105693144723773, 'Mn': 0.21605204045772552, 'Na': 0.060225874185562134, 'O': 0.5898985266685486, 'V': 0.1172364205121994}","Li, Mn, Na, O, V",5,2,0.5043933209834096,4.382941229569983,0.04426799383245532,3.348682003704977,190,929.5481731879792
GEN_07113,"{'Mn': 0.20879916846752167, 'Na': 0.023152463138103485, 'O': 0.6147990822792053, 'V': 0.15081481635570526}","Mn, Na, O, V",4,2,0.5605870169754762,4.402380585631241,0.04115277128474788,3.331823894907357,190,928.9705992132195
GEN_04579,"{'Mn': 0.29396602511405945, 'Na': 0.08846069872379303, 'O': 0.5522369742393494, 'V': 0.0643637627363205}","Mn, Na, O, V",4,2,0.6457399344685766,4.4352417681953895,0.04298764108203265,3.306278019659427,190,928.7290167704556
GEN_00433,"{'Co': 0.12063053250312805, 'Mn': 0.2193327099084854, 'Na': 0.13878093659877777, 'O': 0.5133678913116455}","Co, Mn, Na, O",4,2,0.6723461681623176,4.434763902046077,0.04746789781137791,3.298296149551305,190,926.3870978115541
GEN_06994,"{'Mn': 0.2681194841861725, 'Na': 0.1148189827799797, 'O': 0.5516209602355957, 'V': 0.05368248373270035}","Mn, Na, O, V",4,2,0.640163468964923,4.417771960792929,0.04965619187246967,3.307950959310523,190,925.5389563956063
GEN_03503,"{'Mn': 0.26294460892677307, 'Na': 0.08012041449546814, 'O': 0.5661290287971497, 'V': 0.07804839313030243}","Mn, Na, O, V",4,2,0.7431089848139181,4.456956645542598,0.044697358359645424,3.2770673045558247,190,925.0306370589286
GEN_08087,"{'Mn': 0.22303162515163422, 'Na': 0.07432536035776138, 'O': 0.5915887355804443, 'V': 0.10505069047212601}","Mn, Na, O, V",4,2,0.5311998575116398,4.369725682644032,0.04158686306699387,3.340640042746508,190,924.5197707797033
GEN_05715,"{'Co': 0.2370695322751999, 'Mn': 0.01098954863846302, 'Na': 0.2589665651321411, 'O': 0.4913356602191925}","Co, Mn, Na, O",4,2,0.9492754887916474,4.53636727717819,0.04009051934215011,3.215217353362506,190,923.7424300845787
GEN_07429,"{'Fe': 0.31018367409706116, 'Na': 0.10416862368583679, 'O': 0.5491262078285217, 'V': 0.016919536516070366}","Fe, Na, O, V",4,2,1.027536148625502,4.560646245798934,0.04898563282369071,3.1917391554123493,190,921.9049024577167
GEN_05935,"{'Co': 0.09869842976331711, 'Mn': 0.22627313435077667, 'Na': 0.11821891367435455, 'O': 0.5455114841461182}","Co, Mn, Na, O",4,2,0.652627818215398,4.398970340827046,0.04868878550359498,3.3042116545353806,190,920.558174314026
GEN_06159,"{'Co': 0.026211727410554886, 'Mn': 0.21847061812877655, 'Na': 0.18965187668800354, 'O': 0.5131003260612488, 'V': 0.012080661952495575}","Co, Mn, Na, O, V",5,3,0.7615003414468412,4.0181321760756905,0.042108315405491044,3.2715498975659476,210,920.1863936332803
GEN_03746,"{'Fe': 0.30332931876182556, 'Na': 0.10009802132844925, 'O': 0.5566556453704834, 'V': 0.026827985420823097}","Fe, Na, O, V",4,2,1.0353573678471903,4.553052415600309,0.044258960999071825,3.1893927896458427,190,919.6932611956968
GEN_04473,"{'Co': 0.053821906447410583, 'Mn': 0.2752734124660492, 'Na': 0.16985663771629333, 'O': 0.49200674891471863}","Co, Mn, Na, O",4,2,0.676806879726137,4.403057967150359,0.04818633783983999,3.296957936082159,190,919.3908041623232
GEN_07909,"{'Fe': 0.02109801210463047, 'Na': 0.2538609802722931, 'O': 0.32361623644828796, 'Ti': 0.39137744903564453}","Fe, Na, O, Ti",4,2,0.7527845145008563,4.427842005027705,0.020803235375053537,3.2741646456497433,190,918.1739707943572
GEN_03035,"{'Co': 0.029545733705163002, 'Mn': 0.24327994883060455, 'Na': 0.1252896934747696, 'O': 0.5474712252616882, 'P': 0.025044864043593407, 'V': 0.012760637328028679}","Co, Mn, Na, O, P, V",6,3,0.6843601616943589,3.974757853148417,0.04056027251119923,3.2946919514916924,210,916.6921895527543
GEN_06514,"{'Co': 0.193703293800354, 'Mn': 0.1509905606508255, 'Na': 0.09590452909469604, 'O': 0.5548514723777771}","Co, Mn, Na, O",4,2,0.7093284295978577,4.389474959371033,0.041859359945401305,3.2872014711206425,190,913.8422744464733
GEN_01181,"{'Co': 0.11155577749013901, 'Mg': 0.01098586991429329, 'Mn': 0.21843521296977997, 'Na': 0.1667819619178772, 'O': 0.49175208806991577}","Co, Mg, Mn, Na, O",5,2,0.6793084372218113,4.377183068188515,0.0488355189437055,3.2962074688334564,190,913.7798897149073
GEN_02824,"{'Mn': 0.23658545315265656, 'Na': 0.11627049744129181, 'O': 0.5444696545600891, 'V': 0.10202600806951523}","Mn, Na, O, V",4,2,0.735642229699692,4.398641963204989,0.04669059793568463,3.2793073310900924,190,913.5515929959803
GEN_08143,"{'Co': 0.37451615929603577, 'Mn': 0.07138446718454361, 'Na': 0.09847929328680038, 'O': 0.4551812410354614}","Co, Mn, Na, O",4,2,0.7233911884819745,4.386658263408231,0.056239422662709766,3.2829826434554077,190,912.0837862974992
GEN_00706,"{'Co': 0.01421298086643219, 'Mn': 0.2409595400094986, 'Na': 0.1490844190120697, 'O': 0.5349945425987244, 'P': 0.02457546442747116, 'V': 0.024186717346310616}","Co, Mn, Na, O, P, V",6,3,0.7159231850909253,3.965678761841081,0.04429065763828811,3.2852230444727226,210,911.9697478763461
